firstName;lastName;gender;birthday
Archie;Smith;male;1999-10-08
Duncan;Johnson;male;1980-12-04
Felix;Williams;male;1984-01-13
Fergus;Jones;male;1999-05-22
Gregor;Brown;male;1987-12-21
Jasper;Davis;male;1994-08-23
Lachlan;Miller;male;2002-10-05
Leo;Wilson;male;2006-01-26
Lewis;Moore;male;1992-08-21
Luca;Taylor;male;1988-12-11
Emily;Anderson;female;1982-02-01
Madison;Thomas;female;1997-07-05
Emma;Jackson;female;1971-11-01
Hannah;White;female;1983-01-10
Olivia;Harris;female;2002-12-06
Abigail;Martin;female;2009-04-24
Isabella;Thompson;female;1990-02-16
Ashley;Garcia;female;1980-01-09
Samantha;Martinez;female;1988-11-24
Elizabeth;Robinson;female;1968-12-24
